0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.025529568,0.235282436,0.048654016,0,0.005207414,0,0,0,0.685326567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.023463891,0.000456496,0.075139231,0.188989318,0.009860312,0.03706747,0.031589519,0,0.023372592,0.398703552,0.099242217,0,0.00337807,0,0,0,0.108737332,0,0,0,0,0,0,0,0,0,0,0
0.021600243,0.052023121,0.043200487,0.103742014,0.033465166,0.09218132,0.006388804,0,0.006693033,0.012777609,0.362640706,0,0.259507149,0,0,0,0.005780347,0,0,0,0,0,0,0,0,0,0,0
0.019302153,0.000371195,0.010022272,0.039717892,0.004454343,0.031922791,0.059762435,0.153303638,0.001855976,0.00705271,0.003711952,0.338158872,0.001484781,0.092056422,0.125463994,0,0,0.009651076,0.011507053,0,0.088715664,0,0,0,0.001484781,0,0,0
0.024590164,0.168032787,0.040983607,0,0,0.114754098,0,0,0.241803279,0.004098361,0.008196721,0,0.389344262,0,0,0,0.008196721,0,0,0,0,0,0,0,0,0,0,0
0.027921406,0.003102378,0.036194416,0.148914168,0.007238883,0.034126163,0.085832472,0.068252327,0.001034126,0.16442606,0.055842813,0.016546019,0.006204757,0.210961737,0.037228542,0,0.085832472,0.001034126,0.002068252,0,0.006204757,0,0,0,0.001034126,0,0,0
0.009244992,0.050847458,0.043143297,0.00770416,0.016949153,0.095531587,0.009244992,0.137134052,0.001540832,0.006163328,0.098613251,0.004622496,0.149460709,0.010785824,0.352850539,0,0,0,0.004622496,0,0.001540832,0,0,0,0,0,0,0
0.019316493,0.001485884,0.016344725,0.052005944,0.005943536,0.031203566,0.049034175,0.163447251,0,0.002971768,0,0.063893016,0,0.09063893,0.043090639,0.340267459,0,0.005943536,0.002971768,0.002971768,0.066864785,0.004457652,0.035661218,0,0.001485884,0,0,0
0,0,0,0,0,0,0,0,0.021152266,0.234014061,0.048148035,0,0.00538698,0,0,0,0.691298658,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.023721787,0.000998004,0.085905113,0.178335636,0.010056809,0.038922156,0.027560264,7.68E-05,0.024028865,0.420082911,0.076692768,0,0.002840473,0,0,0,0.110778443,0,0,0
0,0,0,0,0,0,0,0,0.024842547,0.054758572,0.050209937,0.131210637,0.047410777,0.062281316,0.001749475,0,0.014870539,0.011896431,0.410251924,0,0.181945416,0,0,0,0.008572428,0,0,0
0,0,0,0,0,0,0,0,0.024072869,0,0.015831707,0.048796357,0.005855563,0.038169594,0.066579918,0.140099761,0.000867491,0.006723054,0.009542399,0.357406203,0.002168727,0.089785296,0.070700499,0,0.123183691,0.000216873,0,0
0,0,0,0,0,0,0,0,0.033707865,0.172284644,0.049224184,0,0.006955591,0.153558052,0,0,0.203852327,0.023542001,0.003745318,0,0.345104334,0,0,0,0.008025682,0,0,0
0,0,0,0,0,0,0,0,0.019029496,0.000475737,0.026641294,0.126070409,0.01094196,0.037107517,0.081351094,0.074215033,0.002854424,0.158420552,0.049476689,0.022835395,0.00903901,0.236441484,0.027592769,0,0.115128449,0.002378687,0,0
0,0,0,0,0,0,0,0,0.014668367,0.071428571,0.050382653,0.008290816,0.017219388,0.080994898,0.00255102,0.200255102,0.00127551,0.005102041,0.088010204,0.007653061,0.148596939,0.022321429,0.265943878,0,0.013392857,0.001913265,0,0
0,0,0,0,0,0,0,0,0.021464646,0,0.014520202,0.049242424,0.008838384,0.035984848,0.054292929,0.158459596,0,0.006944444,0.003156566,0.070707071,0.001262626,0.096590909,0.049242424,0.298611111,0.125,0.005681818,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021812466,0.236487005,0.044123285,0,0.004561834,0,0,0,0.693015411,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021489971,0.000904841,0.111974061,0.164002413,0.010330267,0.044714221,0.018700045,0,0.627356357,0.000527824,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016494269,0.081772435,0.050041935,0.14984624,0.039837853,0.030192899,0.000419346,0,0.627341347,0.004053676,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020645844,0.000882301,0.023116287,0.050114699,0.005646727,0.049232398,0.054526204,0.10993471,0.679018881,0.005823187,0.001058761,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036822366,0.131264916,0.047050801,0,0.004091374,0.147289465,0,0,0.632117286,0.001363791,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014778325,0.002111189,0.036945813,0.089725545,0.006685433,0.038705137,0.099929627,0.080577058,0.625263899,0.004222379,0.001055595,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018712163,0.067143643,0.042927903,0.000550358,0.017611447,0.027517887,0,0.181618052,0.638965327,0.002201431,0.002751789,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020463113,0.001077006,0.021540118,0.041464728,0.011308562,0.037695207,0.040387722,0.113624125,0.705977383,0.003231018,0.003231018,0
