Lineup,Start_State,End_State,Count
5,17,24,14
5,18,16,1
5,18,18,740
5,18,20,28
5,18,24,1
5,19,18,2
5,19,19,868
5,19,21,10
5,19,22,29
5,19,24,10
5,20,16,7
5,20,20,289
5,21,18,7
5,21,20,2
5,21,21,452
5,21,22,33
5,21,24,4
5,22,20,3
5,22,22,245
5,23,19,1
5,23,22,2
5,23,23,191
6,0,0,4460
6,1,1,1106
6,1,2,57
6,1,4,1
6,1,8,15
6,2,2,369
6,2,4,6
6,3,3,307
6,3,5,1
6,3,6,7
6,3,9,1
6,3,10,1
6,4,0,1
6,4,4,27
6,5,2,3
6,5,5,88
6,5,6,3
6,5,12,1
6,6,6,88
6,7,7,80
6,8,8,3662
6,9,9,1446
6,9,10,88
6,9,12,3
6,9,16,24
6,10,10,573
6,10,12,21
6,10,16,2
6,11,11,479
6,11,13,3
6,11,14,18
6,11,17,4
6,11,18,1
6,12,8,3
6,12,12,162
6,13,10,1
6,13,13,185
6,13,14,4
6,13,20,1
6,14,12,1
6,14,14,165
6,15,14,5
6,15,15,231
6,15,21,1
6,16,16,3048
6,17,17,1145
6,17,18,120
6,17,20,4
6,17,24,31
6,18,18,654
6,18,20,28
6,18,24,1
6,19,19,659
6,19,21,5
6,19,22,20
6,20,16,4
6,20,20,285
6,20,21,1
6,21,18,6
6,21,20,1
6,21,21,340
6,21,22,23
6,21,24,1
6,22,22,213
6,23,19,1
6,23,22,6
6,23,23,299
7,0,0,4572
7,1,1,951
7,1,2,48
7,1,4,3
7,1,8,13
7,2,0,1
7,2,2,283
7,2,3,1
7,2,4,12
7,2,8,2
7,3,3,297
7,3,5,1
7,3,6,5
7,3,10,1
7,4,0,1
7,4,4,49
7,5,2,1
7,5,5,84
7,5,6,2
7,5,10,1
7,6,4,2
7,6,6,61
7,7,6,2
7,7,7,83
7,7,14,1
7,8,8,3289
7,8,9,1
7,9,9,1329
7,9,10,86
7,9,11,2
7,9,12,3
7,9,16,25
7,10,10,564
7,10,12,17
7,10,16,9
7,11,11,555
7,11,12,1
7,11,13,4
7,11,14,19
7,11,18,3
7,11,20,1
7,12,8,1
7,12,12,157
7,13,10,1
7,13,12,1
7,13,13,225
7,13,14,9
7,13,18,1
7,13,20,2
7,14,12,3
7,14,14,174
7,15,14,5
7,15,15,186
7,16,16,2920
7,17,17,1422
7,17,18,129
7,17,19,1
7,17,20,3
7,17,24,35
7,18,16,1
7,18,18,746
7,18,20,31
7,18,24,1
7,19,19,590
7,19,21,6
7,19,22,20
7,19,23,1
7,19,24,1
7,20,16,3
7,20,20,265
7,21,18,5
7,21,20,1
7,21,21,273
7,21,22,22
7,21,24,3
7,22,20,1
7,22,22,183
7,23,22,3
7,23,23,241
7,23,24,2
8,0,0,4517
8,1,1,1020
8,1,2,46
8,1,4,2
8,1,8,13
8,2,2,300
8,2,4,7
8,2,8,1
8,3,3,241
8,3,5,2
8,3,6,6
8,3,9,3
8,4,4,32
8,5,2,1
8,5,4,1
8,5,5,63
8,5,6,1
8,6,4,1
8,6,6,58
8,7,7,70
8,8,8,3313
8,9,9,1170
8,9,10,66
8,9,11,1
8,9,12,3
8,9,16,33
8,10,8,1
8,10,10,491
8,10,12,23
8,10,16,4
8,11,11,485
8,11,13,1
8,11,14,14
8,11,17,1
8,12,12,162
8,13,10,6
8,13,12,1
8,13,13,183
8,13,14,6
8,13,20,1
8,14,12,2
8,14,14,169
8,15,14,2
8,15,15,208
8,16,16,2673
8,17,17,1339
8,17,18,132
8,17,20,2
8,17,24,34
8,18,16,1
8,18,18,779
8,18,20,19
8,18,24,1
8,19,18,1
8,19,19,687
8,19,21,3
8,19,22,15
8,19,24,3
8,20,16,4
8,20,20,292
8,21,18,2
8,21,21,262
8,21,22,21
8,21,24,3
8,21,25,1
8,22,20,2
8,22,22,212
8,22,23,1
8,23,18,1
8,23,22,3
8,23,23,211
9,0,0,4333
9,0,1,1
9,1,1,954
9,1,2,60
9,1,4,1
9,1,8,16
9,2,2,280
9,2,4,6
9,3,3,221
9,3,5,1
9,3,6,12
9,3,9,2
9,3,10,2
9,3,12,2
9,4,0,1
9,4,4,42
9,5,2,1
9,5,5,86
9,5,6,2
9,6,4,1
9,6,6,62
9,7,7,56
9,7,11,1
9,8,8,3312
9,9,9,1198
9,9,10,67
9,9,12,4
9,9,16,31
9,10,8,1
9,10,10,541
9,10,12,25
9,10,16,5
9,11,11,437
9,11,13,4
9,11,14,17
9,11,17,3
9,11,18,1
9,12,8,3
9,12,12,172
9,12,16,3
9,13,9,1
9,13,10,6
9,13,13,193
9,13,14,12
9,13,17,1
9,13,20,2
9,14,12,2
9,14,14,145
9,14,20,1
9,15,15,159
9,16,16,2612
9,17,17,1162
9,17,18,85
9,17,19,1
9,17,20,3
9,17,24,14
9,18,16,1
9,18,18,664
9,18,20,13
9,19,19,677
9,19,21,7
9,19,22,17
9,19,24,3
9,20,16,3
9,20,20,261
9,20,24,1
9,21,18,8
9,21,21,308
9,21,22,23
9,21,24,1
9,22,20,1
9,22,22,198
9,22,24,1
9,23,22,8
9,23,23,269
