192,2461,498,0,88,0,0,0,6384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,7,188,7,38,26,0,1,375,123,0,2,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0
4,9,9,26,2,30,1,0,0,0,81,0,68,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1,0,3,6,0,1,8,28,0,0,1,57,0,16,28,0,0,2,2,0,22,0,0,0,0,0,0,0
1,8,1,0,0,4,0,0,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,7,0,4,5,12,1,11,1,2,0,18,4,0,2,0,0,0,0,0,0,0,0,0,0,0
0,3,1,0,0,11,0,4,0,0,2,0,11,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,0,1,3,6,0,0,0,5,0,4,3,18,0,0,0,2,4,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,56,859,167,0,16,0,0,0,2337,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13,0,13,214,11,38,38,0,0,494,65,0,3,0,0,0,133,0,0,0
0,0,0,0,0,0,0,0,13,43,29,66,6,64,3,0,2,7,259,0,135,0,0,0,5,0,0,0
0,0,0,0,0,0,0,0,5,0,5,18,1,12,7,66,0,0,2,128,0,50,23,0,35,0,0,0
0,0,0,0,0,0,0,0,4,38,10,0,1,30,0,0,40,8,3,0,71,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,3,0,1,20,2,7,5,11,0,27,13,4,0,35,1,0,21,2,0,0
0,0,0,0,0,0,0,0,0,16,9,3,4,18,0,33,1,1,16,0,25,7,53,0,2,0,0,0
0,0,0,0,0,0,0,0,3,0,3,10,3,1,6,24,1,3,0,17,2,12,7,54,15,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,745,125,0,15,0,0,0,1874,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,218,12,39,33,0,712,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,79,59,139,9,40,1,0,539,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,33,8,19,11,76,333,3,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44,18,0,2,40,0,0,203,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,32,1,8,7,22,164,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,25,0,3,7,0,39,166,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,13,3,10,10,23,118,1,2,0
