batter_position,start_state,end_state,count
9,5,2,78
8,9,17,34059
4,12,17,302
11,14,9,235
3,3,5,756
9,23,26,78
11,7,16,1
7,12,20,4311
10,21,16,179
1,12,16,608
11,11,15,1969
10,5,9,443
0,14,13,1
11,11,21,1106
10,15,16,4
5,13,18,883
11,10,8,182
3,1,9,26432
5,9,24,10581
10,13,20,18
5,0,1,69745
2,1,10,8525
4,6,3,11
5,11,16,15
8,20,20,172
5,7,15,1293
5,19,19,2446
10,10,14,40
5,2,4,140
1,18,18,496
8,8,10,9203
5,7,21,19
11,7,13,187
4,19,25,266
2,6,6,26
9,18,19,8420
1,12,13,259
10,14,17,18
10,6,8,7
5,23,21,536
7,5,5,378
6,18,22,38
4,3,11,4207
10,15,13,145
9,3,7,2705
6,12,9,2036
11,5,17,9
6,17,16,972
11,6,14,527
6,1,4,537
7,7,22,96
4,11,13,843
10,17,21,1663
9,10,8,957
6,16,16,2034
8,7,12,9
9,6,14,1427
7,20,24,11492
9,5,17,17
11,3,7,860
5,12,17,305
2,4,9,21
11,18,19,2229
7,4,4,39
9,7,13,441
7,12,10,669
1,1,12,63
7,23,22,322
7,17,25,77
2,22,22,3
3,4,10,8
3,14,24,94
10,21,26,4
0,18,20,1
6,21,21,710
4,0,1,80580
5,6,3,43
4,11,16,20
4,13,18,773
4,9,24,9321
1,11,17,30
8,12,24,146
3,7,6,202
3,2,2,975
9,23,16,328
6,15,21,935
10,23,27,5
4,7,21,11
10,13,10,99
1,6,18,3
9,18,25,227
6,15,15,1476
4,7,15,1082
11,7,0,43
4,19,19,2108
4,2,4,172
0,23,23,23
4,23,21,544
9,11,15,4256
9,11,21,3035
7,14,18,901
5,19,25,285
11,23,26,40
1,3,1,3
9,14,9,606
8,22,16,190
11,5,2,13
2,14,11,46
3,20,18,847
7,11,8,886
9,7,16,2
5,3,11,5201
6,13,16,10
1,15,19,240
6,11,18,141
11,11,10,172
0,9,11,1
1,21,19,811
8,15,11,510
4,5,8,4
4,14,14,72
6,5,14,202
6,14,8,76
4,8,12,1659
5,4,6,2
7,5,16,584
3,3,13,1846
4,10,17,526
9,21,18,352
1,5,20,53
7,10,20,6227
1,10,16,41
7,15,9,4
9,15,18,63
1,11,22,3297
10,17,20,124
10,5,3,358
3,19,24,24536
5,17,18,1712
11,19,23,2208
7,13,14,495
2,8,8,4396
1,15,14,77
4,6,9,17
2,6,7,639
2,22,17,840
9,11,20,59
5,0,4,1657
7,23,17,13
2,5,12,20
11,12,8,57
6,13,13,496
3,1,3,12557
4,23,20,147
1,13,9,4
8,1,8,44
4,14,19,97
9,3,6,664
4,16,18,6552
5,2,1,1147
1,10,13,785
11,7,5,71
3,3,16,4
7,5,13,1534
7,19,18,843
0,18,21,1
5,14,25,21
5,7,10,10
6,21,20,169
3,9,14,2630
7,7,17,10
6,15,20,31
0,7,3,1
6,10,9,1917
7,13,19,302
4,7,20,244
5,18,24,27171
11,0,2,2411
11,11,11,794
1,13,24,617
8,15,10,87
1,9,18,13378
2,6,5,290
